                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9087,                 2.8038,                 1.4766,                0.00526,                    0.8,                0.48261,                0.24348,                  1.648,                 3.9698,                 2.1619,             0.00021671,             0.00021671,             0.00021671
                      2,                0.78807,                 1.8701,                 1.3943,                0.00665,                      1,                0.60838,                0.23872,                  1.822,                 3.9097,                 2.4227,             0.00044118,             0.00044118,             0.00044118
                      3,                0.84417,                 1.6607,                 1.4173,                0.67774,                    0.4,                0.63432,                0.24175,                 2.0281,                 3.7138,                 2.6982,              0.0006564,              0.0006564,              0.0006564
                      4,                0.91129,                 1.5938,                 1.4388,                0.64648,                0.73943,                0.55941,                0.18129,                 1.9617,                 3.6241,                 2.4636,             0.00086239,             0.00086239,             0.00086239
                      5,                0.88299,                 1.5138,                 1.4307,                      1,                0.54275,                0.64758,                0.18274,                 1.9697,                 3.3871,                 3.5188,              0.0010591,              0.0010591,              0.0010591
                      6,                0.85384,                 1.4268,                 1.3977,                0.47224,                0.90005,                  0.695,                0.30312,                 1.7306,                 2.8976,                  2.313,              0.0012466,              0.0012466,              0.0012466
                      7,                0.85719,                 1.3416,                  1.397,                      1,                0.79808,                  0.995,                0.52569,                 1.5909,                 3.2673,                 1.9909,              0.0014249,              0.0014249,              0.0014249
                      8,                0.89422,                   1.35,                 1.4358,                0.55065,                    0.4,                 0.3819,                0.19931,                  2.217,                 3.2946,                 2.8554,               0.001436,               0.001436,               0.001436
                      9,                0.92435,                 1.3655,                 1.4562,                0.64826,                    0.4,                0.37633,                 0.1042,                 3.2288,                 3.0607,                 4.2659,              0.0014029,              0.0014029,              0.0014029
                     10,                0.89443,                 1.3364,                 1.4484,                0.68072,                    0.6,                0.53765,                0.26487,                 2.4591,                 3.5377,                 3.2569,              0.0013699,              0.0013699,              0.0013699
                     11,                0.89119,                 1.2473,                 1.4181,                      1,                0.79165,                0.82948,                0.39751,                 2.2785,                 3.2112,                 2.9458,              0.0013369,              0.0013369,              0.0013369
                     12,                0.81336,                 1.2103,                 1.3873,                0.64901,                      1,                0.88071,                 0.4878,                 1.4773,                 2.6319,                 1.9373,              0.0013039,              0.0013039,              0.0013039
                     13,                0.86659,                 1.1733,                 1.3944,                      1,                0.78034,                0.85382,                0.33039,                 1.8091,                 2.5506,                  2.178,              0.0012709,              0.0012709,              0.0012709
                     14,                0.76154,                  1.017,                 1.3244,                0.79416,                    0.8,                0.67557,                0.33401,                 1.8996,                 2.7881,                 3.0045,              0.0012379,              0.0012379,              0.0012379
                     15,                0.83624,                 1.0895,                 1.3788,                0.82434,                      1,                0.92833,                0.46755,                 1.5606,                 1.5912,                 2.3436,              0.0012049,              0.0012049,              0.0012049
                     16,                0.79378,                 1.0219,                 1.3812,                0.92796,                      1,                  0.995,                0.49336,                 1.5761,                 1.7878,                 2.0219,              0.0011719,              0.0011719,              0.0011719
                     17,                0.83145,                 1.0618,                 1.3719,                0.79052,                    0.8,                    0.8,                0.31297,                 1.9594,                 1.8379,                 2.4942,              0.0011389,              0.0011389,              0.0011389
                     18,                0.80806,                 1.0015,                  1.361,                0.66087,                 0.7826,                0.66167,                0.17768,                 2.9115,                 2.6172,                 3.9042,              0.0011059,              0.0011059,              0.0011059
                     19,                0.77663,                 1.0291,                 1.3377,                0.96006,                    0.8,                0.80471,                0.30755,                 2.3738,                 1.5094,                 3.4269,              0.0010729,              0.0010729,              0.0010729
                     20,                0.81788,                0.99754,                 1.3569,                0.78564,                    0.8,                0.87833,                0.34756,                 2.2804,                 1.6166,                  2.873,              0.0010399,              0.0010399,              0.0010399
                     21,                0.78061,                0.97825,                 1.3315,                      1,                0.39981,                0.62433,                0.19818,                  2.589,                 2.6853,                 3.3456,              0.0010069,              0.0010069,              0.0010069
                     22,                0.76572,                0.93005,                 1.3516,                      1,                 0.5829,                0.72926,                0.22576,                 2.5151,                 2.3039,                 3.2941,             0.00097386,             0.00097386,             0.00097386
                     23,                0.74634,                0.88736,                 1.3165,                0.96273,                    0.8,                0.84763,                0.44578,                 1.8449,                 1.8641,                 2.1801,             0.00094085,             0.00094085,             0.00094085
                     24,                  0.694,                0.85684,                 1.2879,                0.95135,                    0.8,                0.90611,                0.48162,                 1.6594,                 1.5316,                 2.0967,             0.00090785,             0.00090785,             0.00090785
                     25,                0.69811,                0.86547,                 1.2821,                      1,                0.99999,                  0.995,                0.68831,                  1.287,                 1.1742,                 1.8237,             0.00087484,             0.00087484,             0.00087484
                     26,                0.66585,                0.84144,                 1.2979,                0.97555,                      1,                  0.995,                0.58658,                 1.3943,                 1.1594,                 1.9178,             0.00084184,             0.00084184,             0.00084184
                     27,                0.70915,                0.84428,                 1.2963,                0.82623,                      1,                0.96167,                0.45003,                 1.9613,                 1.1859,                 2.6441,             0.00080883,             0.00080883,             0.00080883
                     28,                0.68193,                 0.8014,                 1.2616,                0.82405,                      1,                  0.895,                0.36279,                 2.0911,                 1.1623,                 2.9308,             0.00077582,             0.00077582,             0.00077582
                     29,                0.75882,                0.86986,                 1.3236,                0.96933,                      1,                  0.995,                0.46645,                 1.9623,                 1.2398,                 2.5373,             0.00074282,             0.00074282,             0.00074282
                     30,                0.66702,                0.80366,                  1.262,                0.98667,                      1,                  0.995,                 0.4682,                  1.884,                  1.002,                 2.2583,             0.00070981,             0.00070981,             0.00070981
                     31,                0.65256,                0.77302,                 1.2552,                0.99106,                      1,                  0.995,                0.44818,                 1.5472,                 1.1001,                 1.9607,              0.0006768,              0.0006768,              0.0006768
                     32,                0.59444,                0.73295,                 1.2469,                      1,                0.99673,                  0.995,                0.56532,                  1.518,                 1.0588,                 1.8731,              0.0006438,              0.0006438,              0.0006438
                     33,                 0.6306,                0.70293,                 1.2723,                0.99602,                      1,                  0.995,                 0.5115,                 1.5053,                 1.1707,                 2.3174,             0.00061079,             0.00061079,             0.00061079
                     34,                0.62584,                0.72507,                 1.2442,                      1,                0.98846,                  0.995,                0.53568,                 1.4522,                 1.1365,                 2.1471,             0.00057778,             0.00057778,             0.00057778
                     35,                 0.6353,                0.74682,                 1.2375,                      1,                0.97743,                  0.995,                0.53126,                 1.5256,                 1.0986,                 1.9266,             0.00054478,             0.00054478,             0.00054478
                     36,                0.61752,                0.69149,                 1.2175,                0.78227,                      1,                  0.895,                0.49659,                 1.3269,                  1.209,                 1.8862,             0.00051177,             0.00051177,             0.00051177
                     37,                0.65235,                0.74347,                 1.2701,                0.81192,                      1,                0.92833,                0.48798,                 1.6401,                 1.2605,                 2.2492,             0.00047876,             0.00047876,             0.00047876
                     38,                0.63126,                0.70684,                 1.2299,                0.83101,                0.98607,                0.96167,                0.49552,                 1.3397,                 1.0477,                 1.9249,             0.00044576,             0.00044576,             0.00044576
                     39,                0.56437,                 0.6252,                 1.1845,                0.97597,                      1,                  0.995,                0.50279,                 1.3752,                 1.1278,                  1.993,             0.00041275,             0.00041275,             0.00041275
                     40,                0.57207,                 0.6501,                 1.1904,                      1,                 0.9875,                  0.995,                  0.535,                 1.4328,                 1.2975,                   1.92,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.5906,                0.95267,                 1.2943,                0.99489,                      1,                  0.995,                0.54016,                 1.4835,                 1.3438,                 1.8383,             0.00034674,             0.00034674,             0.00034674
                     42,                0.50623,                0.65113,                 1.2509,                0.97843,                    0.8,                   0.92,                0.58178,                 1.4242,                 1.3093,                 1.8958,             0.00031373,             0.00031373,             0.00031373
                     43,                0.49267,                0.63699,                 1.2458,                0.97902,                    0.8,                0.84045,                0.54554,                 1.5844,                 1.2875,                 1.9888,             0.00028072,             0.00028072,             0.00028072
                     44,                0.51039,                0.59633,                 1.2217,                0.97905,                    0.8,                   0.92,                0.51391,                 1.5033,                 1.1672,                 2.0425,             0.00024772,             0.00024772,             0.00024772
                     45,                0.48706,                0.56849,                 1.2198,                0.98211,                    0.8,                0.93786,                0.48316,                 1.5617,                 1.1392,                 2.1002,             0.00021471,             0.00021471,             0.00021471
                     46,                0.46948,                0.58579,                 1.2073,                0.80825,                      1,                0.96167,                0.43205,                 1.6143,                 1.0862,                 2.2352,              0.0001817,              0.0001817,              0.0001817
                     47,                0.41195,                0.52507,                 1.1397,                0.98554,                    0.8,                0.96167,                0.48198,                 1.5466,                0.93429,                 2.2342,              0.0001487,              0.0001487,              0.0001487
                     48,                0.48362,                0.55732,                 1.2327,                      1,                0.99313,                  0.995,                 0.4588,                  1.547,                0.97664,                 2.2684,             0.00011569,             0.00011569,             0.00011569
                     49,                 0.4334,                0.50347,                 1.1753,                      1,                0.99659,                  0.995,                0.47798,                  1.553,                 0.9693,                 2.3055,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.42802,                0.50968,                 1.1969,                      1,                0.99719,                  0.995,                0.47264,                 1.5826,                0.95741,                 2.3168,             4.9677e-05,             4.9677e-05,             4.9677e-05
